county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Casey County, KY",45,KY,Casey County,10987.0,11021.0,1327.0,1095.0,175.0,170.0,175.0,170.0,21
"Christian County, KY",47,KY,Christian County,50868.0,50909.0,4739.0,4210.0,704.0,663.0,704.0,663.0,21
"Clark County, KY",49,KY,Clark County,27314.0,27258.0,1981.0,2002.0,257.0,308.0,257.0,308.0,21
"Clay County, KY",51,KY,Clay County,13496.0,13562.0,1382.0,1056.0,180.0,170.0,180.0,170.0,21
"Clinton County, KY",53,KY,Clinton County,7245.0,7041.0,723.0,745.0,101.0,116.0,101.0,116.0,21
"Crittenden County, KY",55,KY,Crittenden County,6167.0,6149.0,553.0,580.0,74.0,90.0,74.0,90.0,21
"Cumberland County, KY",57,KY,Cumberland County,4607.0,4537.0,408.0,369.0,57.0,60.0,57.0,60.0,21
"Daviess County, KY",59,KY,Daviess County,75793.0,76099.0,6033.0,5789.0,725.0,767.0,725.0,767.0,21
"Edmonson County, KY",61,KY,Edmonson County,8582.0,8580.0,888.0,917.0,118.0,139.0,118.0,139.0,21
"Elliott County, KY",63,KY,Elliott County,4583.0,4508.0,336.0,260.0,49.0,44.0,49.0,44.0,21
"Estill County, KY",65,KY,Estill County,10196.0,10207.0,929.0,826.0,128.0,133.0,128.0,133.0,21
"Fayette County, KY",67,KY,Fayette County,243591.0,245753.0,23429.0,20241.0,2233.0,2168.0,2233.0,2168.0,21
"Fleming County, KY",69,KY,Fleming County,10607.0,10858.0,1220.0,875.0,156.0,132.0,156.0,132.0,21
"Floyd County, KY",71,KY,Floyd County,25843.0,25765.0,2465.0,1791.0,305.0,265.0,305.0,265.0,21
"Franklin County, KY",73,KY,Franklin County,36979.0,36751.0,3134.0,3215.0,401.0,469.0,401.0,469.0,21
"Fulton County, KY",75,KY,Fulton County,3949.0,3811.0,290.0,321.0,42.0,55.0,42.0,55.0,21
"Gallatin County, KY",77,KY,Gallatin County,6855.0,6669.0,696.0,704.0,92.0,108.0,92.0,108.0,21
"Garrard County, KY",79,KY,Garrard County,12986.0,12932.0,1336.0,1258.0,173.0,183.0,173.0,183.0,21
"Grant County, KY",81,KY,Grant County,19606.0,19498.0,1414.0,1653.0,189.0,257.0,189.0,257.0,21
"Graves County, KY",83,KY,Graves County,27208.0,26724.0,2607.0,2404.0,333.0,357.0,333.0,357.0,21
"Grayson County, KY",85,KY,Grayson County,18934.0,19107.0,1850.0,1571.0,247.0,245.0,247.0,245.0,21
"Green County, KY",87,KY,Green County,7648.0,7611.0,887.0,902.0,116.0,137.0,116.0,137.0,21
"Greenup County, KY",89,KY,Greenup County,25547.0,25389.0,1802.0,1604.0,234.0,237.0,234.0,237.0,21
"Hancock County, KY",91,KY,Hancock County,6716.0,6614.0,438.0,499.0,61.0,79.0,61.0,79.0,21
"Hardin County, KY",93,KY,Hardin County,85843.0,84861.0,5818.0,6416.0,723.0,902.0,723.0,902.0,21
"Harlan County, KY",95,KY,Harlan County,18680.0,18683.0,1670.0,1162.0,219.0,180.0,219.0,180.0,21
"Harrison County, KY",97,KY,Harrison County,14189.0,14244.0,1177.0,1099.0,153.0,163.0,153.0,163.0,21
"Hart County, KY",99,KY,Hart County,14129.0,13956.0,1376.0,1356.0,176.0,202.0,176.0,202.0,21
"Henderson County, KY",101,KY,Henderson County,33573.0,33028.0,2556.0,2322.0,329.0,341.0,329.0,341.0,21
